time,command
2023-12-09-16-56-33,0
2023-12-09-17-00-33,1
2023-12-09-17-14-34,0
2023-12-09-17-18-03,1
2023-12-09-18-08-33,0
2023-12-09-18-09-33,1
2023-12-09-18-25-42,0
2023-12-09-18-27-32,1
2023-12-09-18-37-03,0
2023-12-09-18-38-03,1
2023-12-09-18-43-02,0
2023-12-09-18-46-33,1
2023-12-09-18-48-33,0
2023-12-09-18-49-03,1
2023-12-09-18-52-02,0
2023-12-09-18-54-02,1
2023-12-10-03-47-36,1
2023-12-10-12-28-02,0
2023-12-10-12-31-03,1
2023-12-10-12-33-03,0
2023-12-10-12-34-32,1
2023-12-10-13-32-33,0
2023-12-10-13-34-32,1
2023-12-10-13-43-02,0
2023-12-10-13-47-03,1
2023-12-10-13-48-02,0
2023-12-10-13-48-33,1
2023-12-10-13-58-32,0
2023-12-10-13-59-33,1
2023-12-10-14-01-02,0
2023-12-10-14-06-33,1
2023-12-10-14-08-02,0
2023-12-10-14-33-32,1
2023-12-10-14-35-32,0
2023-12-10-14-50-02,1
2023-12-10-14-51-03,0
2023-12-10-14-52-02,1
2023-12-10-14-55-32,0
2023-12-10-14-56-33,1
2023-12-10-14-58-32,0
2023-12-10-15-33-03,1
2023-12-10-15-40-33,0
2023-12-10-15-43-33,1
2023-12-10-15-45-04,0
2023-12-10-15-51-03,1
2023-12-10-15-56-03,0
2023-12-10-15-57-32,1
2023-12-10-16-01-35,0
2023-12-10-16-03-33,1
2023-12-10-16-07-32,0
2023-12-10-16-08-02,1
2023-12-10-16-13-33,0
2023-12-10-16-14-32,1
2023-12-10-16-48-33,0
2023-12-10-16-52-02,1
2023-12-10-16-53-33,0
2023-12-10-16-57-37,1
2023-12-10-16-58-32,0
2023-12-10-17-02-32,1
2023-12-10-17-04-03,0
2023-12-10-17-10-03,1
2023-12-10-17-13-03,0
2023-12-10-17-15-03,1
2023-12-10-17-16-03,0
2023-12-10-17-18-32,1
2023-12-10-17-28-03,0
2023-12-10-17-44-32,1
2023-12-10-17-46-33,0
2023-12-10-18-06-33,1
2023-12-10-18-23-04,0
2023-12-10-18-23-33,1
2023-12-10-18-25-03,0
2023-12-10-18-25-34,1
2023-12-10-18-30-03,0
2023-12-10-18-36-03,1
2023-12-10-18-37-03,0
2023-12-10-18-37-32,1
2023-12-10-18-38-32,0
2023-12-10-18-40-02,1
2023-12-10-18-41-32,0
2023-12-10-18-45-03,1
2023-12-10-18-52-03,0
2023-12-10-18-52-32,1
2023-12-10-18-57-33,0
2023-12-10-19-18-34,1
2023-12-10-19-56-03,0
2023-12-10-20-33-39,1
2023-12-10-20-38-39,1
2023-12-11-15-16-07,1
2023-12-11-15-17-38,1
2023-12-11-23-32-02,0
2023-12-12-00-32-32,1
2023-12-12-00-35-32,0
2023-12-12-06-00-02,1
2023-12-12-06-42-02,0
2023-12-12-07-00-03,1
2023-12-12-19-00-03,0
2023-12-13-06-00-02,1
2023-12-13-06-39-02,0
2023-12-13-07-00-03,1
2023-12-13-11-45-36,1
2023-12-13-16-10-36,1
2023-12-13-19-23-37,1
2023-12-13-19-38-54,1
2023-12-13-19-41-36,1
2023-12-13-20-00-03,0
2023-12-14-06-00-02,1
2023-12-14-06-40-02,0
2023-12-14-07-00-03,1
2023-12-14-10-38-03,1
2023-12-14-10-39-03,1
2023-12-14-10-40-38,1
2023-12-14-10-43-35,1
2023-12-14-13-44-06,1
2023-12-14-14-46-07,1
2023-12-14-14-50-06,1
2023-12-14-15-40-08,1
2023-12-14-18-35-33,0
2023-12-14-23-46-35,1
2023-12-15-00-10-03,0
2023-12-15-06-34-32,1
2023-12-15-07-57-02,0
2023-12-15-08-00-03,1
2023-12-15-22-25-03,0
2023-12-15-23-33-33,1
2023-12-16-01-30-03,0
2023-12-16-02-25-02,1
2023-12-16-03-19-32,0
2023-12-16-12-11-02,1
2023-12-16-15-15-03,0
2023-12-16-15-24-32,1
2023-12-16-18-23-40,1
2023-12-16-18-26-08,1
2023-12-17-00-44-32,0
2023-12-17-00-57-33,1
2023-12-17-01-20-02,0
2023-12-17-08-36-03,1
2023-12-17-10-38-36,1
2023-12-17-11-09-36,1
2023-12-17-12-17-04,0
2023-12-17-13-06-33,1
2023-12-17-14-46-33,0
2023-12-17-15-27-33,1
2023-12-17-15-37-33,0
2023-12-17-16-28-37,1
2023-12-17-16-54-08,1
2023-12-17-17-04-09,1
2023-12-17-17-10-37,1
2023-12-17-17-12-37,1
2023-12-17-17-20-42,1
2023-12-17-17-22-36,1
2023-12-17-17-25-44,1
2023-12-17-17-29-37,1
2023-12-17-19-23-11,0
2023-12-17-20-59-34,1
2023-12-17-22-00-12,0
2023-12-18-04-00-37,1
2023-12-18-19-16-36,1
